Scientific Name,Date,Lat,Long
Syritta pipiens,02/08/2025,51.586,-0.872
Episyrphus balteatus,16/07/2025,51.83,-1.095
Bombus terrestris,16/07/2025,51.83,-1.095
Vespula vulgaris,16/07/2025,51.83,-1.095
Myathropa florea,02/08/2025,51.586,-0.872
Vespula vulgaris,27/07/2025,51.79,-0.656
Bombus pascuorum,23/07/2025,51.775,-0.696
Episyrphus balteatus,23/07/2025,51.775,-0.696
Bombus lapidarius,13/07/2025,51.767,-0.592
Baccha elongata,23/07/2025,51.775,-0.696
Syritta pipiens,26/07/2025,51.767,-0.592
Episyrphus balteatus,14/07/2025,51.736,-0.8
Myathropa florea,23/07/2025,51.775,-0.696
Bombus terrestris,25/07/2025,51.767,-0.592
Syritta pipiens,13/08/2025,51.496,-0.178
Bombus lapidarius,19/08/2025,51.17,-2.331
Bombus terrestris,19/08/2025,51.17,-2.331
Bombus terrestris,19/08/2025,51.17,-2.331
Bombus pascuorum,19/08/2025,51.193,-2.363
Syritta pipiens,19/08/2025,51.169,-2.331
Syritta pipiens,19/08/2025,51.169,-2.331
Vespula vulgaris,05/08/2025,51.559,-0.823
Bombus terrestris,08/08/2025,51.686,-0.883
Bombus pascuorum,08/08/2025,51.686,-0.883
Bombus pascuorum,16/08/2025,51.71,-0.851
Dolichovespula sylvestris,13/08/2025,54.9813,-3.773
Dolichovespula sylvestris,13/08/2025,54.9813,-3.773
Dolichovespula sylvestris,13/08/2025,54.9813,-3.773
Bombus pascuorum,13/08/2025,54.9813,-3.773
Vespula vulgaris,13/08/2025,55.0787,-3.599
Vespula vulgaris,13/08/2025,54.9813,-3.773
Bombus lucorum,13/08/2025,54.9813,-3.773
Episyrphus balteatus,13/08/2025,55.0787,-3.599
Myathropa florea,30/08/2025,53.532,-1.998
Bombus pascuorum,30/08/2025,53.532,-1.998
Vespula vulgaris,30/08/2025,53.532,-1.998
Bombus pascuorum,09/09/2025,51.955,-2.775
Syritta pipiens,09/09/2025,51.955,-2.775
Bombus terrestris,10/09/2025,51.955,-2.775
Myathropa florea,11/09/2025,51.955,-2.775
Episyrphus balteatus,11/09/2025,51.955,-2.775
Vespula vulgaris,11/08/2025,51.955,-2.775
Myathropa florea,15/07/2025,52.702,-3.038
Dolichovespula sylvestris,15/07/2025,52.702,-3.038
Vespula vulgaris,18/08/2025,52.702,-3.038
Bombus terrestris,17/08/2025,52.702,-3.038
Bombus pascuorum,15/08/2025,52.702,-3.038
Syritta pipiens,15/07/2025,52.702,-3.038
Syritta pipiens,15/07/2025,52.702,-3.038
Bombus pascuorum,24/08/2025,55.988,-4.942
Vespula vulgaris,29/08/2025,55.712,-4.258
Bombus pascuorum,25/08/2025,55.586,-4.639
Vespula vulgaris,27/08/2025,55.654,-4.712
Bombus terrestris,25/08/2025,55.586,-4.639
Vespula vulgaris,16/09/2025,51.784,-0.583
Vespula vulgaris,17/10/225,51.807,-0.593
Vespula vulgaris,28/08/2025,51.815,-0.644
Vespula vulgaris,15/10/2025,51.516,-3.603
Syritta pipiens,01/09/2025,51.516,-3.603
Episyrphus balteatus,04/09/2025,51.516,-3.603
Myathropa florea,04/09/2025,51.516,-3.603
Bombus pascuorum,01/09/2025,51.516,-3.603
Syritta pipiens,22/08/2025,54.9396,-4.025
Vespula vulgaris,23/08/2025,54.846,-4.22
Vespula vulgaris,08/09/2025,54.9356,-4.023
Myathropa florea,26/08/2025,54.9356,-4.023
Bombus pascuorum,22/08/2025,54.9396,-4.025
Bombus lapidarius,22/08/2025,54.9396,-4.025
Bombus terrestris,24/09/2025,54.9396,-4.025
Episyrphus balteatus,10/09/2025,54.9396,-4.025
Vespula vulgaris,16/09/2025,54.9396,-4.025
Vespula vulgaris,11/08/2025,50.988,-1.384
Myathropa florea,11/08/2025,50.988,-1.384
Bombus pascuorum,22/08/2025,50.988,-1.384
Syritta pipiens,11/08/2025,50.988,-1.384
Syritta pipiens,11/08/2025,50.988,-1.384
Episyrphus balteatus,08/09/2025,50.988,-1.384
Myathropa florea,11/08/2025,50.988,-1.384
Bombus pascuorum,22/08/2025,50.988,-1.384
Vespula vulgaris,11/08/2025,50.988,-1.384
Vespula vulgaris,06/10/2025,51.068,-0.327
Bombus pascuorum,06/10/2025,51.068,-0.327
Bombus terrestris,06/10/2025,51.068,-0.327
Bombus pascuorum,23/08/2025,56.333,-5.414
Episyrphus balteatus,24/08/2025,56.127,-5.244
Bombus pascuorum,24/08/2025,56.127,-5.244
Episyrphus balteatus,25/08/2025,55.91,-5.426
Bombus lapidarius,25/08/2025,55.959,-5.703
Bombus pascuorum,25/08/2025,55.3091,-5.643
Vespula vulgaris,25/08/2025,55.414,-5.619
Bombus pascuorum,31/08/2025,55.455,-4.308
Bombus pascuorum,11/09/2025,56.07,-6.188
Vespula vulgaris,18/09/2025,56.331,-6.394
Bombus hortorum,02/11/2025,56.135,-5.487
Osmia bicornis,10/11/2025,52.702,-3.038
Osmia bicornis,10/11/2025,52.702,-3.038
Syritta pipiens,10/09/2025,53.518,-2.036
Episyrphus balteatus,04/09/2025,52.915,-4.138
Baccha elongata,10/09/2025,53.518,-2.036
Syritta pipiens,31/08/2025,52.857,-4.4878
Episyrphus balteatus,07/09/2025,53.518,-2.036
